,0,1,2,3,4,5,6,7,8,9,10
4221,114137008,Prevotella dentalis,active,2002-01-31,Prevotella dentalis (organism),Prevotella dentalisMitsuokella dentalis,Prevotella 114129000,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacteroidetes/Chlorobi group 415672001 Bacteroidetes 419548007 Class Bacteroidia 419282000 Bacteroidales 409820006 Family Prevotellaceae 418251007 Prevotella 114129000 Prevotella dentalis 114137008,sorted most to least specificPrevotella 114129000Family Prevotellaceae 418251007Bacteroidales 409820006Class Bacteroidia 419282000Bacteroidetes 419548007Anaerobic Gram-negative bacillus 243386003Bacteroidetes/Chlorobi group 415672001Anaerobic bacteria 59343002Gram-negative bacillus 87172008Gram-negative bacterium 81325006Form-bacillus 416455007Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
4225,8984004,Mobiluncus,active,2002-01-31,Genus Mobiluncus (organism),MobiluncusGenus MobiluncusMobiluncus speciesFalcivibrio,Anaerobic non-sporing Gram-positive bacillus 243399000Actinomycetaceae 409824002,Falcivibrio grandis 80674008 removed: 2007-07-31Falcivibrio vaginalis 39930004 removed: 2007-07-31Mobiluncus curtisii 30224004Mobiluncus mulieris 13716002Mobiluncus species 131335000 removed: 2015-01-31Mobiluncus-like gram-negative bacillus 413353006,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Firmicutes 115195009 Non-Sporing Gram Positive Rods 115198006 Anaerobic non-sporing Gram-positive bacillus 243399000 Mobiluncus 8984004SNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Form-bacillus 416455007 Actinobacteria 409823008 Class Actinobacteria 413857000 Actinobacteridae 409835007 Actinomycetales 409833000 Actinomycineae 425737005 Actinomycetaceae 409824002 Mobiluncus 8984004,sorted most to least specificAnaerobic non-sporing Gram-positive bacillus 243399000Actinomycetaceae 409824002Anaerobic Gram-positive bacillus 243398008Actinomycineae 425737005Non-Sporing Gram Positive Rods 115198006Anaerobic bacteria 59343002Gram-positive bacillus 83514008Actinomycetales 409833000Firmicutes 115195009Actinobacteridae 409835007Gram-positive bacteria 8745002Class Actinobacteria 413857000Actinobacteria 409823008Form-bacillus 416455007Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP
4231,71655003,Moellerella,active,2002-01-31,Genus Moellerella (organism),MoellerellaGenus MoellerellaMoellerella species,Enterobacteriaceae 106544002,Moellerella species 131272008 removed: 2015-01-31Moellerella wisconsensis 37107002,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Gram-negative bacterium 81325006 Facultatively anaerobic gram-negative rod 115173005 Enterobacteriaceae 106544002 Moellerella 71655003,sorted most to least specificEnterobacteriaceae 106544002Order Enterobacterales 417937002Coliform bacteria 77309002Facultatively anaerobic gram-negative rod 115173005Gram-negative bacillus 87172008Gammaproteobacteria 413864003Proteobacteria 409852006Form-bacillus 416455007Gram-negative bacterium 81325006Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP
4233,37107002,Moellerella wisconsensis,active,2002-01-31,Moellerella wisconsensis (organism),CDC Enteric group 46Moellerella wisconsensis,Moellerella 71655003,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Gram-negative bacterium 81325006 Facultatively anaerobic gram-negative rod 115173005 Enterobacteriaceae 106544002 Moellerella 71655003 Moellerella wisconsensis 37107002,sorted most to least specificMoellerella 71655003Enterobacteriaceae 106544002Coliform bacteria 77309002Order Enterobacterales 417937002Facultatively anaerobic gram-negative rod 115173005Gammaproteobacteria 413864003Gram-negative bacillus 87172008Proteobacteria 409852006Form-bacillus 416455007Gram-negative bacterium 81325006Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
4235,416887004,Mogibacterium,active,2005-07-31,Genus Mogibacterium (organism),MogibacteriumGenus MogibacteriumMogibacterium species,Anaerobic non-sporing Gram-positive bacillus 243399000Eubacteriaceae 422478000,Mogibacterium neglectum 429899006Mogibacterium pumilum 417530005Mogibacterium timidum 417280000Mogibacterium vescum 416225002,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Firmicutes 115195009 Non-Sporing Gram Positive Rods 115198006 Anaerobic non-sporing Gram-positive bacillus 243399000 Mogibacterium 416887004SNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Firmicutes 115195009 Class Clostridia 413861006 Order Clostridiales 414958003 Eubacteriaceae 422478000 Mogibacterium 416887004,sorted most to least specificEubacteriaceae 422478000Anaerobic non-sporing Gram-positive bacillus 243399000Anaerobic Gram-positive bacillus 243398008Order Clostridiales 414958003Non-Sporing Gram Positive Rods 115198006Gram-positive bacillus 83514008Class Clostridia 413861006Anaerobic bacteria 59343002Firmicutes 115195009Gram-positive bacteria 8745002Form-bacillus 416455007Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP
4237,429898003,Mogibacterium diversum,active,2008-07-31,Mogibacterium diversum (organism),Mogibacterium diversum,Eubacteriaceae 422478000,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Firmicutes 115195009 Class Clostridia 413861006 Order Clostridiales 414958003 Eubacteriaceae 422478000 Mogibacterium diversum 429898003,sorted most to least specificEubacteriaceae 422478000Order Clostridiales 414958003Class Clostridia 413861006Anaerobic bacteria 59343002Firmicutes 115195009Form-bacillus 416455007Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
4239,429899006,Mogibacterium neglectum,active,2008-07-31,Mogibacterium neglectum (organism),Mogibacterium neglectum,Mogibacterium 416887004,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Firmicutes 115195009 Non-Sporing Gram Positive Rods 115198006 Anaerobic non-sporing Gram-positive bacillus 243399000 Mogibacterium 416887004 Mogibacterium neglectum 429899006,sorted most to least specificMogibacterium 416887004Eubacteriaceae 422478000Anaerobic non-sporing Gram-positive bacillus 243399000Non-Sporing Gram Positive Rods 115198006Anaerobic Gram-positive bacillus 243398008Order Clostridiales 414958003Gram-positive bacillus 83514008Class Clostridia 413861006Form-bacillus 416455007Gram-positive bacteria 8745002Anaerobic bacteria 59343002Firmicutes 115195009Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
4243,416225002,Mogibacterium vescum,active,2005-07-31,Mogibacterium vescum (organism),Mogibacterium vescum,Mogibacterium 416887004,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Firmicutes 115195009 Non-Sporing Gram Positive Rods 115198006 Anaerobic non-sporing Gram-positive bacillus 243399000 Mogibacterium 416887004 Mogibacterium vescum 416225002,sorted most to least specificMogibacterium 416887004Eubacteriaceae 422478000Anaerobic non-sporing Gram-positive bacillus 243399000Non-Sporing Gram Positive Rods 115198006Anaerobic Gram-positive bacillus 243398008Order Clostridiales 414958003Gram-positive bacillus 83514008Class Clostridia 413861006Form-bacillus 416455007Gram-positive bacteria 8745002Anaerobic bacteria 59343002Firmicutes 115195009Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
4245,36361003,Moraxella,active,2002-01-31,Genus Moraxella (organism),Genus MoraxellaMoraxella speciesMoraxella,Moraxellaceae 427501004,Branhamella 302581003Moraxella anatipestifer 113831001 removed: 2006-07-31Moraxella boevrei 113832008Moraxella oblonga 430486003Moraxella pluranimalium 708417009Moraxella porci 708413008Moraxella saccharolytica 113837002Moraxella species 131337008 removed: 2015-01-31Moraxella-like organism 414778004Subgenus Moraxella 427057001,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Gram-negative bacterium 81325006 Proteobacteria 409852006 Gammaproteobacteria 413864003 Pseudomonadales 426765003 Moraxellaceae 427501004 Moraxella 36361003,sorted most to least specificMoraxellaceae 427501004Pseudomonadales 426765003Gammaproteobacteria 413864003Proteobacteria 409852006Gram-negative bacterium 81325006Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP
4247,113658005,Riemerella anatipestifer,active,2002-01-31,Riemerella anatipestifer (organism),Riemerella anatipestiferMoraxella anatipestiferPasteurella anatipestifer,Riemerella 115145008,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Aerobic bacteria 27471002 Gram-negative aerobic rod 115172000 Riemerella 115145008 Riemerella anatipestifer 113658005,sorted most to least specificRiemerella 115145008Family Flavobacteriaceae 114248007Gram-negative aerobic rod 115172000Flavobacteriales 425807007Aerobic bacteria 27471002Flavobacteria 427466005Bacteroidetes 419548007Anaerobic Gram-negative bacillus 243386003Bacteroidetes/Chlorobi group 415672001Anaerobic bacteria 59343002Gram-negative bacillus 87172008Gram-negative bacterium 81325006Form-bacillus 416455007Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
4249,47491001,Moraxella (Moraxella) atlantae,active,2002-01-31,Moraxella atlantae (organism),Moraxella atlantaeCDC group M-3Moraxella (Moraxella) atlantae,Subgenus Moraxella 427057001,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Gram-negative bacterium 81325006 Proteobacteria 409852006 Gammaproteobacteria 413864003 Pseudomonadales 426765003 Moraxellaceae 427501004 Moraxella 36361003 Subgenus Moraxella 427057001 Moraxella (Moraxella) atlantae 47491001,sorted most to least specificSubgenus Moraxella 427057001Moraxella 36361003Moraxellaceae 427501004Pseudomonadales 426765003Gammaproteobacteria 413864003Proteobacteria 409852006Gram-negative bacterium 81325006Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
4251,113832008,Moraxella boevrei,active,2002-01-31,Moraxella boevrei (organism),Moraxella boevrei,Moraxella 36361003,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Gram-negative bacterium 81325006 Proteobacteria 409852006 Gammaproteobacteria 413864003 Pseudomonadales 426765003 Moraxellaceae 427501004 Moraxella 36361003 Moraxella boevrei 113832008,sorted most to least specificMoraxella 36361003Moraxellaceae 427501004Pseudomonadales 426765003Gammaproteobacteria 413864003Proteobacteria 409852006Gram-negative bacterium 81325006Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
4253,19425003,Moraxella (Moraxella) bovis,active,2002-01-31,Moraxella bovis (organism),Moraxella bovisMoraxella (Moraxella) bovisHaemophilus bovisHemophilus bovis,Subgenus Moraxella 427057001,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Gram-negative bacterium 81325006 Proteobacteria 409852006 Gammaproteobacteria 413864003 Pseudomonadales 426765003 Moraxellaceae 427501004 Moraxella 36361003 Subgenus Moraxella 427057001 Moraxella (Moraxella) bovis 19425003,sorted most to least specificSubgenus Moraxella 427057001Moraxella 36361003Moraxellaceae 427501004Pseudomonadales 426765003Gammaproteobacteria 413864003Proteobacteria 409852006Gram-negative bacterium 81325006Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
4255,113833003,Moraxella canis,active,2002-01-31,Moraxella canis (organism),Moraxella canis,Subgenus Moraxella 427057001,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Gram-negative bacterium 81325006 Proteobacteria 409852006 Gammaproteobacteria 413864003 Pseudomonadales 426765003 Moraxellaceae 427501004 Moraxella 36361003 Subgenus Moraxella 427057001 Moraxella canis 113833003,sorted most to least specificSubgenus Moraxella 427057001Moraxella 36361003Moraxellaceae 427501004Pseudomonadales 426765003Gammaproteobacteria 413864003Proteobacteria 409852006Gram-negative bacterium 81325006Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
4257,113834009,Moraxella caprae,active,2002-01-31,Moraxella caprae (organism),Moraxella caprae,Subgenus Moraxella 427057001,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Gram-negative bacterium 81325006 Proteobacteria 409852006 Gammaproteobacteria 413864003 Pseudomonadales 426765003 Moraxellaceae 427501004 Moraxella 36361003 Subgenus Moraxella 427057001 Moraxella caprae 113834009,sorted most to least specificSubgenus Moraxella 427057001Moraxella 36361003Moraxellaceae 427501004Pseudomonadales 426765003Gammaproteobacteria 413864003Proteobacteria 409852006Gram-negative bacterium 81325006Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
4267,84066001,Moraxella (Moraxella) lacunata,active,2002-01-31,Moraxella lacunata (organism),Moraxella liquefaciensMoraxella lacunataMoraxella (Moraxella) lacunataMorax-Axenfeld bacillus,Subgenus Moraxella 427057001,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Gram-negative bacterium 81325006 Proteobacteria 409852006 Gammaproteobacteria 413864003 Pseudomonadales 426765003 Moraxellaceae 427501004 Moraxella 36361003 Subgenus Moraxella 427057001 Moraxella (Moraxella) lacunata 84066001,sorted most to least specificSubgenus Moraxella 427057001Moraxella 36361003Moraxellaceae 427501004Pseudomonadales 426765003Gammaproteobacteria 413864003Proteobacteria 409852006Gram-negative bacterium 81325006Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
4269,113836006,Moraxella lincolnii,active,2002-01-31,Moraxella lincolnii (organism),Moraxella lincolnii,Subgenus Moraxella 427057001,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Gram-negative bacterium 81325006 Proteobacteria 409852006 Gammaproteobacteria 413864003 Pseudomonadales 426765003 Moraxellaceae 427501004 Moraxella 36361003 Subgenus Moraxella 427057001 Moraxella lincolnii 113836006,sorted most to least specificSubgenus Moraxella 427057001Moraxella 36361003Moraxellaceae 427501004Pseudomonadales 426765003Gammaproteobacteria 413864003Proteobacteria 409852006Gram-negative bacterium 81325006Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
4273,46455003,Moraxella (Moraxella) nonliquefaciens,active,2002-01-31,Moraxella nonliquefaciens (organism),Moraxella nonliquefaciensMoraxella (Moraxella) nonliquefaciens,Subgenus Moraxella 427057001,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Gram-negative bacterium 81325006 Proteobacteria 409852006 Gammaproteobacteria 413864003 Pseudomonadales 426765003 Moraxellaceae 427501004 Moraxella 36361003 Subgenus Moraxella 427057001 Moraxella (Moraxella) nonliquefaciens 46455003,sorted most to least specificSubgenus Moraxella 427057001Moraxella 36361003Moraxellaceae 427501004Pseudomonadales 426765003Gammaproteobacteria 413864003Proteobacteria 409852006Gram-negative bacterium 81325006Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
4275,430486003,Moraxella oblonga,active,2008-07-31,Moraxella oblonga (organism),Moraxella oblonga,Moraxella 36361003,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Gram-negative bacterium 81325006 Proteobacteria 409852006 Gammaproteobacteria 413864003 Pseudomonadales 426765003 Moraxellaceae 427501004 Moraxella 36361003 Moraxella oblonga 430486003,sorted most to least specificMoraxella 36361003Moraxellaceae 427501004Pseudomonadales 426765003Gammaproteobacteria 413864003Proteobacteria 409852006Gram-negative bacterium 81325006Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
4277,72401008,Moraxella osloensis,active,2002-01-31,Moraxella osloensis (organism),Moraxella (Moraxella) osloensisMoraxella osloensis,Subgenus Moraxella 427057001,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Gram-negative bacterium 81325006 Proteobacteria 409852006 Gammaproteobacteria 413864003 Pseudomonadales 426765003 Moraxellaceae 427501004 Moraxella 36361003 Subgenus Moraxella 427057001 Moraxella osloensis 72401008,sorted most to least specificSubgenus Moraxella 427057001Moraxella 36361003Moraxellaceae 427501004Pseudomonadales 426765003Gammaproteobacteria 413864003Proteobacteria 409852006Gram-negative bacterium 81325006Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
4281,113941002,Psychrobacter phenylpyruvicus,active,2002-01-31,Psychrobacter phenylpyruvicus (organism),Psychrobacter phenylpyruvicusMoraxella phenylpyruvicaMoraxella polymorpha,Psychrobacter 34412002,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Aerobic bacteria 27471002 Gram-negative aerobic rod 115172000 Non-fermentative Gram-negative bacillus 243328000 Psychrobacter 34412002 Psychrobacter phenylpyruvicus 113941002,sorted most to least specificPsychrobacter 34412002Moraxellaceae 427501004Non-fermentative Gram-negative bacillus 243328000Gram-negative aerobic rod 115172000Non-Enterobacteriaceae 243311003Pseudomonadales 426765003Gram-negative bacillus 87172008Aerobic bacteria 27471002Gammaproteobacteria 413864003Form-bacillus 416455007Proteobacteria 409852006Gram-negative bacterium 81325006Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
4283,90341001,Oligella urethralis,active,2002-01-31,Oligella urethralis (organism),Oligella urethralisMoraxella urethralisCDC group M-4,Oligella 112343001,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Aerobic bacteria 27471002 Gram-negative aerobic rod 115172000 Oligella 112343001 Oligella urethralis 90341001,sorted most to least specificOligella 112343001Gram-negative coccobacillus 53932007Gram-negative aerobic rod 115172000Alcaligenaceae 409866001Gram-negative bacillus 87172008Burkholderiales 409854007Aerobic bacteria 27471002Betaproteobacteria 409853001Form-bacillus 416455007Proteobacteria 409852006Gram-negative bacterium 81325006Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
4285,50713005,Morganella,active,2002-01-31,Genus Morganella (organism),Genus MorganellaMorganella speciesMorganella,Enterobacteriaceae 106544002,Morganella morganii 243301005Morganella species 372316007 removed: 2015-01-31,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Gram-negative bacterium 81325006 Facultatively anaerobic gram-negative rod 115173005 Enterobacteriaceae 106544002 Morganella 50713005,sorted most to least specificEnterobacteriaceae 106544002Order Enterobacterales 417937002Coliform bacteria 77309002Facultatively anaerobic gram-negative rod 115173005Gram-negative bacillus 87172008Gammaproteobacteria 413864003Proteobacteria 409852006Form-bacillus 416455007Gram-negative bacterium 81325006Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP
4287,243301005,Morganella morganii,active,2002-01-31,Morganella morganii (organism),Morganella morganii,Morganella 50713005,"Morganella morganii subsp morganii 243302003Morganella morganii subsp sibonii 243303008Morganella morganii, biogroup 1 114460006Multidrug resistant Morganella morganii 707293009",a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Gram-negative bacterium 81325006 Facultatively anaerobic gram-negative rod 115173005 Enterobacteriaceae 106544002 Morganella 50713005 Morganella morganii 243301005,sorted most to least specificMorganella 50713005Enterobacteriaceae 106544002Coliform bacteria 77309002Order Enterobacterales 417937002Facultatively anaerobic gram-negative rod 115173005Gammaproteobacteria 413864003Gram-negative bacillus 87172008Proteobacteria 409852006Form-bacillus 416455007Gram-negative bacterium 81325006Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP
4289,243303008,Morganella morganii subsp sibonii,active,2002-01-31,Morganella morganii subsp sibonii (organism),Morganella morganii subsp sibonii,Morganella morganii 243301005,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Gram-negative bacterium 81325006 Facultatively anaerobic gram-negative rod 115173005 Enterobacteriaceae 106544002 Morganella 50713005 Morganella morganii 243301005 Morganella morganii subsp sibonii 243303008,sorted most to least specificMorganella morganii 243301005Morganella 50713005Enterobacteriaceae 106544002Order Enterobacterales 417937002Coliform bacteria 77309002Facultatively anaerobic gram-negative rod 115173005Gammaproteobacteria 413864003Gram-negative bacillus 87172008Proteobacteria 409852006Form-bacillus 416455007Gram-negative bacterium 81325006Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
